altogether,full,atleastone,region
New South Wales Capital Region 46.8% 17.9%,17.9,46.8,Capital Region
New South Wales Central Coast 45.0% 19.6%,19.6,45.0,Central Coast
New South Wales Central West 40.4% 16.7%,16.7,40.4,Central West
New South Wales Coffs Harbour - Grafton 41.7% 14.6%,14.6,41.7,Coffs Harbour - Grafton
New South Wales Far West and Orana 34.1% 13.4%,13.4,34.1,Far West and Orana
New South Wales Hunter Valley exc Newcastle 37.5% 14.1%,14.1,37.5,Hunter Valley exc Newcastle
New South Wales Illawarra 42.6% 21.3%,21.3,42.6,Illawarra
New South Wales Mid North Coast 45.5% 17.5%,17.5,45.5,Mid North Coast
New South Wales Murray 45.0% 16.7%,16.7,45.0,Murray
New South Wales New England and North West 38.2% 15.1%,15.1,38.2,New England and North West
New South Wales Newcastle and Lake Macquarie 41.3% 17.7%,17.7,41.3,Newcastle and Lake Macquarie
New South Wales Richmond - Tweed 39.7% 17.2%,17.2,39.7,Richmond - Tweed
New South Wales Riverina 43.5% 18.7%,18.7,43.5,Riverina
New South Wales Southern Highlands and Shoalhaven 50.5% 22.0%,22.0,50.5,Southern Highlands and Shoalhaven
New South Wales Sydney - Baulkham Hills and Hawkesbury 49.8% 25.5%,25.5,49.8,Sydney - Baulkham Hills and Hawkesbury
New South Wales Sydney - Blacktown 39.7% 19.8%,19.8,39.7,Sydney - Blacktown
New South Wales Sydney - City and Inner South 36.2% 19.7%,19.7,36.2,Sydney - City and Inner South
New South Wales Sydney - Eastern Suburbs 44.8% 23.9%,23.9,44.8,Sydney - Eastern Suburbs
New South Wales Sydney - Inner South West 33.5% 16.1%,16.1,33.5,Sydney - Inner South West
New South Wales Sydney - Inner West 42.4% 22.8%,22.8,42.4,Sydney - Inner West
New South Wales Sydney - North Sydney and Hornsby 51.9% 26.9%,26.9,51.9,Sydney - North Sydney and Hornsby
New South Wales Sydney - Northern Beaches 47.7% 20.9%,20.9,47.7,Sydney - Northern Beaches
New South Wales Sydney - Outer South West 38.7% 17.8%,17.8,38.7,Sydney - Outer South West
New South Wales Sydney - Outer West and Blue Mountains 39.1% 17.9%,17.9,39.1,Sydney - Outer West and Blue Mountains
New South Wales Sydney - Parramatta 35.1% 17.7%,17.7,35.1,Sydney - Parramatta
New South Wales Sydney - Ryde 45.7% 23.3%,23.3,45.7,Sydney - Ryde
New South Wales Sydney - South West 33.1% 14.6%,14.6,33.1,Sydney - South West
New South Wales Sydney - Sutherland 48.9% 22.5%,22.5,48.9,Sydney - Sutherland
